"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"0","2-к. квартира","62,5 м²","6","10 эт.","пр-д Измайловский, д. 22, корп. 1","Локомотив","0","0","1","1","12593750","201 500 ₽ за м²"
"1","Своб. планировка","52,1 м²","1","24 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","17958870","344 700 ₽ за м²"
"2","1-к. квартира","30 м²","14","30 эт.","Ильменский проезд, вл. 12","Селигерская","0","0","1","1","9400000","313 333 ₽ за м²"
"3","2-к. квартира","89,7 м²","3","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","28289500","315 379 ₽ за м²"
"4","2-к. квартира","52,8 м²","5","14 эт.","ш. Ленинградское, д. 228, корп. 3","рн Молжаниновский","0","0","1","1","12000000","227 273 ₽ за м²"
"5","3-к. квартира","110,6 м²","3","25 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","41698633","377 022 ₽ за м²"
"6","3-к. квартира","74 м²","5","20 эт.","Волоколамское ш., стр. 8","Мякинино","0","0","1","1","22000000","297 297 ₽ за м²"
"7","3-к. квартира","96,4 м²","10","24 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","39146112","406 080 ₽ за м²"
"8","5-к. апартаменты","165 м²","2","4 эт.","Олимпийский пр-т, вл. 10","Цветной бульвар","0","0","1","1","74250000","450 000 ₽ за м²"
"9","2-к. квартира","68,1 м²","17","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","25225100","370 413 ₽ за м²"
"10","2-к. квартира","45,9 м²","9","32 эт.","Кронштадтский бульвар, корп. 1/3","Водный стадион","0","0","1","1","13800000","300 654 ₽ за м²"
"11","1-к. квартира","31,9 м²","24","31 эт.","ул. Газгольдерная, вл. 8","Нижегородская","0","0","1","1","10500000","329 154 ₽ за м²"
"12","3-к. квартира","110,9 м²","17","25 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","45947533","414 315 ₽ за м²"
"13","1-к. квартира","40,1 м²","12","12 эт.","ул. Складочная, 6к10","Савёловская","0","0","1","1","14700000","366 584 ₽ за м²"
"14","1-к. апартаменты","48,2 м²","8","16 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","25064000","520 000 ₽ за м²"
"15","1-к. квартира","35,4 м²","19","21 эт.","пос. Московский, ул. Родниковая, д. 30, корп. 3","Саларьево","0","0","1","1","9600000","271 186 ₽ за м²"
"16","4-к. квартира","116,5 м²","28","30 эт.","ул. Шеногина, вл. 2","Шелепиха","0","0","1","1","62350000","535 193 ₽ за м²"
